First Name,Last Name,Email,Gender,Age,Department,Attendance (%),Midterm Score,Final Score,Assignment Average,Quiz Average,Participation Score,Project Score,Total Score,Grade,Study Hours Per Week,Extracurricular Activity,Internet Access,Parent's Education,Family Income,Stress Level
Aarav,Yadav,aarav.yadav76@example.com,Other,24,Electronics,87.87,87.38,59.69,84.63,78.95,86.22,98.76,77.51,B,25,No,Yes,Diploma,Low,Low
Krishna,Kumar,krishna.kumar753@example.com,Male,24,Civil,77.55,58.69,58.66,66.84,73.07,81.41,79.32,64.54,C,20,Yes,Yes,Bachelor,High,High
Navya,Das,navya.das412@example.com,Male,25,Information Technology,88.27,70.2,93.8,72.35,100.0,84.26,65.71,82.02,B,6,No,Yes,Diploma,Middle,Low
Navya,Mehta,navya.mehta866@example.com,Female,21,Data Science,69.29,77.24,68.65,82.14,79.68,77.27,65.84,74.07,B,28,No,No,Master,Middle,Medium
Shaurya,Nair,shaurya.nair434@example.com,Other,22,Computer Science,64.85,63.3,84.85,77.14,59.05,79.73,80.62,75.05,B,11,Yes,Yes,PhD,High,Low
Sai,Saxena,sai.saxena610@example.com,Other,24,Mechanical,71.16,72.31,72.87,63.57,78.29,83.61,89.0,74.03,B,24,No,No,High School,High,Low
Vivaan,Sharma,vivaan.sharma277@example.com,Male,17,Computer Science,90.54,49.33,57.93,80.15,80.17,83.15,100.0,66.81,C,9,Yes,Yes,Master,Low,Low
Riya,Sharma,riya.sharma690@example.com,Female,17,Electrical,85.71,87.03,86.31,81.51,70.22,85.59,66.73,82.17,B,12,Yes,No,Diploma,Low,Medium
Aditya,Saxena,aditya.saxena927@example.com,Other,20,Mechanical,77.63,62.72,73.23,98.15,51.59,84.86,56.65,71.1,B,14,No,No,Bachelor,High,High
Anika,Das,anika.das600@example.com,Male,19,Computer Science,75.28,86.33,72.96,64.22,65.42,84.8,67.24,74.26,B,26,Yes,Yes,PhD,Middle,Low
Arjun,Gupta,arjun.gupta528@example.com,Other,22,Mechanical,82.16,70.68,62.23,96.44,81.61,57.75,78.24,72.79,B,17,No,No,Master,Middle,Medium
Navya,Tiwari,navya.tiwari11@example.com,Male,25,Computer Science,73.38,82.79,60.11,73.85,80.06,86.66,61.6,71.31,B,24,Yes,No,Bachelor,High,Low
Aditya,Sharma,aditya.sharma884@example.com,Male,18,Mechanical,76.65,62.88,62.2,92.65,78.86,65.39,87.01,71.24,B,30,No,Yes,Bachelor,Low,High
Atharv,Joshi,atharv.joshi297@example.com,Male,23,Information Technology,100.0,85.49,49.21,70.16,89.2,70.92,81.33,69.72,C,22,No,Yes,Diploma,Low,Low
Ishaan,Singh,ishaan.singh141@example.com,Female,19,Civil,87.75,56.1,71.11,42.59,61.71,75.47,61.03,61.35,C,25,Yes,Yes,High School,Low,Low
Aarav,Joshi,aarav.joshi761@example.com,Female,24,Data Science,96.32,48.55,65.4,76.31,91.3,63.64,89.96,67.78,C,18,No,Yes,Diploma,Middle,Medium
Pari,Saxena,pari.saxena862@example.com,Other,25,Electrical,80.1,55.28,78.93,76.99,66.8,78.7,71.38,70.75,B,24,No,Yes,Bachelor,Middle,Medium
Arjun,Singh,arjun.singh49@example.com,Male,19,Civil,81.14,79.93,95.79,62.62,99.6,58.48,74.18,83.2,B,5,No,No,Bachelor,Middle,Medium
Vivaan,Verma,vivaan.verma929@example.com,Male,19,Information Technology,85.88,74.21,62.66,72.92,68.08,72.11,86.2,70.46,B,22,No,No,Diploma,Middle,High
Pari,Sharma,pari.sharma971@example.com,Male,18,Electrical,83.57,59.61,85.49,78.07,83.75,84.3,66.05,75.73,B,20,Yes,Yes,Diploma,Middle,High
Siya,Tiwari,siya.tiwari788@example.com,Male,24,Computer Science,74.4,81.21,81.16,74.79,75.41,90.78,68.9,78.9,B,5,Yes,Yes,Diploma,High,Low
Shaurya,Sharma,shaurya.sharma480@example.com,Other,18,Information Technology,85.47,66.97,68.73,85.99,83.9,86.14,91.67,75.56,B,20,No,Yes,Bachelor,High,High
Anika,Banerjee,anika.banerjee101@example.com,Male,23,Electrical,80.21,80.23,67.35,78.24,72.44,78.97,83.14,74.87,B,20,No,Yes,Master,Middle,Low
Shaurya,Saxena,shaurya.saxena55@example.com,Female,24,Data Science,71.82,100.0,56.91,62.86,87.9,85.92,83.49,75.78,B,16,No,No,Diploma,Low,Low
Pari,Malhotra,pari.malhotra256@example.com,Other,22,Computer Science,86.28,69.82,58.54,75.76,65.87,87.75,74.24,67.71,C,34,Yes,No,Master,Low,Low
Anika,Patel,anika.patel631@example.com,Other,17,Mechanical,71.75,65.18,78.19,69.36,64.13,80.44,78.94,72.4,B,28,Yes,No,Diploma,High,Medium
Anaya,Chatterjee,anaya.chatterjee390@example.com,Female,18,Mechanical,74.93,62.93,75.48,60.52,57.11,70.82,73.44,67.83,C,29,Yes,Yes,High School,Low,Medium
Anika,Nair,anika.nair236@example.com,Female,23,Computer Science,83.11,92.13,84.86,73.4,73.77,67.97,75.78,82.1,B,14,Yes,Yes,PhD,Low,Medium
Reyansh,Chatterjee,reyansh.chatterjee168@example.com,Male,21,Electrical,77.11,74.84,59.59,80.19,92.39,76.91,80.82,72.76,B,31,No,Yes,PhD,High,Medium
Diya,Singh,diya.singh543@example.com,Other,20,Civil,86.9,63.98,75.36,75.13,75.17,70.27,76.29,72.3,B,5,Yes,No,Diploma,High,Low
Aadhya,Tiwari,aadhya.tiwari541@example.com,Male,17,Civil,84.98,91.77,86.39,96.53,64.79,86.72,78.2,86.29,A,22,No,Yes,High School,Low,High
Aarav,Kapoor,aarav.kapoor997@example.com,Other,19,Civil,100.0,57.88,59.4,69.01,48.51,72.74,66.89,60.79,C,22,No,Yes,Diploma,Middle,Medium
Shaurya,Pandey,shaurya.pandey901@example.com,Other,18,Computer Science,81.5,75.13,100.0,84.5,67.08,69.02,81.9,84.81,B,12,No,No,High School,Middle,High
Pari,Verma,pari.verma582@example.com,Male,22,Mechanical,66.8,97.47,89.69,70.31,53.44,91.54,74.63,83.69,B,5,No,No,Diploma,High,Medium
Navya,Mehta,navya.mehta367@example.com,Other,25,Information Technology,92.38,46.08,63.01,75.05,74.56,73.5,83.47,64.31,C,21,No,No,Diploma,Middle,Medium
Shaurya,Iyer,shaurya.iyer201@example.com,Female,25,Civil,69.32,67.86,73.8,80.14,82.54,66.75,57.59,72.17,B,25,No,Yes,High School,High,Low
Aditya,Das,aditya.das533@example.com,Male,21,Mechanical,92.78,74.98,60.77,90.51,75.39,89.79,76.81,73.3,B,7,No,No,Bachelor,Low,High
Aarav,Nair,aarav.nair644@example.com,Other,21,Civil,100.0,96.33,68.27,84.72,81.74,91.69,64.42,79.88,B,19,No,Yes,PhD,Low,Low
Pari,Tiwari,pari.tiwari862@example.com,Male,25,Electronics,86.86,85.88,45.62,63.17,49.53,75.31,84.61,64.09,C,24,Yes,No,Diploma,Middle,High
Siya,Yadav,siya.yadav186@example.com,Female,17,Information Technology,95.02,71.11,96.43,61.2,53.56,77.44,80.61,78.0,B,14,Yes,Yes,PhD,High,High
Myra,Saxena,myra.saxena240@example.com,Female,17,Data Science,79.67,38.99,70.66,61.96,82.04,81.67,64.72,62.53,C,6,No,No,Diploma,Low,Medium
Arjun,Tiwari,arjun.tiwari235@example.com,Female,25,Civil,74.86,54.11,71.06,84.55,62.17,83.04,69.64,68.41,C,25,Yes,Yes,PhD,Low,Low
Navya,Iyer,navya.iyer571@example.com,Other,23,Data Science,72.07,68.39,56.47,69.46,59.63,97.65,76.42,65.77,C,26,No,No,Master,High,High
Atharv,Pandey,atharv.pandey378@example.com,Other,23,Electronics,73.0,73.21,70.32,72.79,81.37,85.58,69.63,73.21,B,21,Yes,Yes,Diploma,Middle,High
Diya,Gupta,diya.gupta182@example.com,Female,24,Computer Science,74.24,65.87,37.47,59.85,90.4,94.45,73.01,59.62,C,10,Yes,Yes,Master,Low,Medium
Ishaan,Patel,ishaan.patel995@example.com,Male,23,Electrical,85.77,74.67,100.0,86.2,72.46,68.44,56.72,82.94,B,11,No,No,Diploma,Middle,High
Krishna,Joshi,krishna.joshi759@example.com,Other,25,Information Technology,82.03,58.65,50.67,68.53,61.02,94.87,86.58,62.18,C,33,No,Yes,PhD,High,High
Vivaan,Mehta,vivaan.mehta937@example.com,Male,20,Electrical,79.92,92.2,73.16,66.39,92.28,83.39,63.55,78.37,B,13,No,Yes,High School,Low,Medium
Shaurya,Saxena,shaurya.saxena445@example.com,Other,17,Civil,78.1,56.87,51.26,84.26,96.91,64.01,82.76,65.96,C,13,Yes,Yes,Bachelor,High,High
Saanvi,Mehta,saanvi.mehta571@example.com,Female,24,Information Technology,73.49,62.69,63.11,66.36,74.58,69.69,79.25,66.58,C,28,Yes,Yes,Bachelor,Middle,Medium
Atharv,Banerjee,atharv.banerjee5@example.com,Female,17,Electronics,79.5,66.42,58.39,69.23,83.06,83.01,64.27,66.31,C,21,Yes,Yes,Bachelor,Middle,Medium
Saanvi,Kumar,saanvi.kumar162@example.com,Female,18,Computer Science,80.99,81.27,46.96,80.43,66.05,83.71,66.84,66.29,C,31,No,Yes,PhD,Low,High
Arjun,Patel,arjun.patel952@example.com,Male,19,Information Technology,61.95,45.59,72.72,77.6,63.15,84.39,56.06,64.63,C,35,Yes,Yes,Bachelor,High,Low
Sai,Sharma,sai.sharma714@example.com,Male,18,Mechanical,79.34,51.83,62.22,75.47,63.68,74.15,88.08,64.94,C,6,No,Yes,PhD,High,Medium
Arjun,Chatterjee,arjun.chatterjee449@example.com,Male,22,Computer Science,74.23,82.54,55.05,80.3,91.3,53.28,66.44,70.39,B,26,Yes,No,PhD,High,Medium
Sai,Kapoor,sai.kapoor501@example.com,Female,18,Computer Science,85.77,66.95,77.57,68.96,75.04,76.44,90.01,74.56,B,15,Yes,No,PhD,Low,High
Navya,Gupta,navya.gupta671@example.com,Male,23,Electrical,82.54,75.06,65.82,70.12,68.81,81.94,70.95,70.4,B,11,Yes,No,PhD,Low,Medium
Sai,Singh,sai.singh876@example.com,Female,24,Civil,82.9,100.0,85.07,71.74,88.41,73.92,51.54,83.23,B,32,No,No,Diploma,High,Low
Arjun,Kumar,arjun.kumar845@example.com,Male,25,Information Technology,69.92,41.94,66.73,75.18,94.12,81.27,73.37,65.93,C,30,Yes,Yes,Diploma,High,Low
Aadhya,Kumar,aadhya.kumar557@example.com,Female,25,Data Science,88.29,36.83,75.53,82.71,56.26,89.44,80.06,66.16,C,13,Yes,No,Master,Low,Medium
Diya,Chatterjee,diya.chatterjee521@example.com,Male,21,Data Science,75.85,79.49,100.0,76.82,76.98,73.41,65.8,84.34,B,34,No,Yes,High School,Middle,Low
Atharv,Sharma,atharv.sharma830@example.com,Male,17,Data Science,88.3,57.16,73.07,70.22,79.75,81.34,88.45,71.29,B,5,No,Yes,Master,Low,High
Aadhya,Yadav,aadhya.yadav290@example.com,Male,21,Data Science,74.9,65.95,57.32,70.56,78.53,85.57,64.93,65.76,C,8,No,Yes,PhD,High,Medium
Reyansh,Banerjee,reyansh.banerjee354@example.com,Female,18,Electrical,88.7,90.33,78.2,93.77,64.71,65.55,54.66,79.23,B,10,Yes,Yes,High School,Middle,Low
Sai,Reddy,sai.reddy937@example.com,Female,17,Data Science,94.96,79.82,71.17,77.8,60.49,100.0,77.55,75.34,B,34,Yes,No,PhD,Middle,Low
Aadhya,Patel,aadhya.patel938@example.com,Female,25,Information Technology,81.09,80.89,79.22,77.24,64.51,82.71,98.58,79.98,B,12,Yes,No,Master,High,Low
Siya,Tiwari,siya.tiwari879@example.com,Male,20,Mechanical,93.45,93.9,64.33,65.1,72.49,78.56,89.13,75.85,B,11,No,Yes,Diploma,High,Low
Riya,Reddy,riya.reddy718@example.com,Female,25,Information Technology,63.08,92.94,69.63,70.73,61.85,61.45,85.88,76.06,B,14,Yes,No,High School,Low,Medium
Arjun,Tiwari,arjun.tiwari998@example.com,Female,24,Civil,80.73,50.65,52.57,71.64,94.03,75.4,57.96,60.78,C,16,Yes,Yes,Master,Middle,Low
Riya,Mehta,riya.mehta479@example.com,Male,18,Electrical,77.54,65.91,31.55,74.46,71.23,84.96,98.19,59.88,C,25,No,Yes,Diploma,Low,Medium
Aarav,Malhotra,aarav.malhotra95@example.com,Other,17,Mechanical,91.27,65.97,55.4,100.0,74.71,78.14,75.71,69.83,C,25,Yes,Yes,PhD,High,Medium
Atharv,Iyer,atharv.iyer624@example.com,Female,25,Information Technology,81.98,67.83,63.4,69.53,73.61,72.57,67.45,67.31,C,32,Yes,No,Diploma,Low,Medium
Aarav,Gupta,aarav.gupta992@example.com,Male,24,Computer Science,81.06,66.18,94.56,48.49,87.1,90.46,51.12,75.26,B,18,Yes,No,High School,Low,Low
Ishaan,Verma,ishaan.verma739@example.com,Male,20,Civil,76.57,64.43,50.89,67.22,60.67,95.52,87.23,63.57,C,28,No,Yes,Diploma,High,Low
Pari,Tiwari,pari.tiwari831@example.com,Male,21,Mechanical,92.72,80.83,55.06,69.75,79.87,65.78,84.56,69.67,C,25,Yes,Yes,Bachelor,Low,Medium
Navya,Sharma,navya.sharma95@example.com,Male,23,Civil,77.6,64.38,82.66,79.44,69.67,89.59,63.03,74.69,B,5,No,Yes,Master,High,Low
Krishna,Yadav,krishna.yadav775@example.com,Male,19,Mechanical,86.16,78.9,67.36,78.26,58.99,87.24,73.78,72.68,B,17,Yes,Yes,Diploma,Middle,Low
Sai,Saxena,sai.saxena698@example.com,Other,22,Data Science,74.77,85.74,61.43,60.92,55.32,84.06,60.63,67.87,C,15,Yes,Yes,PhD,Middle,High
Sai,Patel,sai.patel540@example.com,Female,18,Electrical,97.55,38.77,97.45,77.11,72.84,72.55,80.79,74.36,B,28,Yes,Yes,High School,Middle,Low
Aarav,Tiwari,aarav.tiwari304@example.com,Female,23,Information Technology,79.62,86.55,73.71,76.5,69.64,77.43,79.69,77.72,B,11,No,No,Bachelor,High,Low
Pari,Joshi,pari.joshi287@example.com,Other,18,Electrical,62.9,49.78,83.15,76.71,71.79,78.18,80.17,72.16,B,19,Yes,No,High School,Low,High
Siya,Mehta,siya.mehta969@example.com,Male,24,Data Science,74.6,58.33,74.94,65.22,78.9,60.97,88.35,70.37,B,31,Yes,Yes,Master,Low,Low
Arjun,Sharma,arjun.sharma909@example.com,Male,24,Data Science,84.73,73.84,86.74,91.65,86.17,59.59,60.65,80.23,B,19,Yes,Yes,High School,Middle,Low
Diya,Patel,diya.patel835@example.com,Male,19,Electronics,73.75,70.39,79.76,67.74,76.24,70.45,68.66,73.69,B,12,Yes,Yes,High School,High,High
Diya,Gupta,diya.gupta702@example.com,Female,22,Data Science,65.93,56.15,51.72,65.24,86.64,68.51,100.0,64.02,C,21,Yes,No,Bachelor,Middle,High
Navya,Das,navya.das190@example.com,Female,18,Mechanical,84.93,72.77,59.12,82.0,67.09,79.22,100.0,71.86,B,11,No,No,Master,Low,Low
Ishaan,Mehta,ishaan.mehta242@example.com,Female,23,Civil,79.04,87.24,61.45,74.65,95.25,71.73,97.75,77.4,B,30,Yes,No,High School,Low,High
Arjun,Iyer,arjun.iyer417@example.com,Male,17,Mechanical,87.08,61.56,81.49,84.73,81.46,62.3,67.27,74.61,B,34,Yes,Yes,Bachelor,Low,Low
Ishaan,Mehta,ishaan.mehta393@example.com,Female,25,Civil,77.52,68.88,81.31,76.78,57.98,81.8,83.33,75.42,B,24,Yes,Yes,Master,Low,Low
Ishaan,Gupta,ishaan.gupta340@example.com,Female,18,Electrical,85.6,86.21,84.51,79.59,73.16,61.39,81.16,81.57,B,24,Yes,Yes,Master,Low,Medium
Anika,Singh,anika.singh576@example.com,Female,19,Computer Science,82.08,74.07,52.85,64.19,86.64,77.6,84.18,67.61,C,26,Yes,Yes,High School,High,High
Krishna,Verma,krishna.verma710@example.com,Male,23,Mechanical,80.28,70.45,86.07,69.84,75.15,73.38,70.79,76.48,B,16,Yes,Yes,Bachelor,High,High
Atharv,Kumar,atharv.kumar122@example.com,Other,25,Mechanical,76.91,73.33,64.82,87.56,63.26,76.13,70.72,71.36,B,22,Yes,No,High School,Low,Medium
Diya,Malhotra,diya.malhotra506@example.com,Female,21,Electronics,94.47,72.95,87.48,60.14,77.2,86.9,76.99,77.64,B,22,No,Yes,Bachelor,Middle,Medium
Krishna,Iyer,krishna.iyer426@example.com,Female,23,Data Science,90.65,62.24,93.14,97.99,69.65,73.54,93.44,82.84,B,8,No,Yes,Bachelor,Middle,Low
Shaurya,Patel,shaurya.patel847@example.com,Male,23,Information Technology,95.8,62.16,65.7,72.18,57.87,68.81,63.95,64.98,C,22,Yes,Yes,Bachelor,High,Medium
Myra,Verma,myra.verma611@example.com,Other,25,Mechanical,72.32,69.48,75.51,90.51,62.02,87.84,73.43,75.31,B,7,No,No,High School,Middle,High
Reyansh,Pandey,reyansh.pandey321@example.com,Other,23,Civil,79.51,80.12,55.16,78.82,76.0,82.92,79.47,70.85,B,21,Yes,No,High School,High,High
Ishaan,Sharma,ishaan.sharma530@example.com,Other,25,Information Technology,100.0,60.43,64.04,68.77,67.33,71.63,90.27,67.18,C,13,No,No,PhD,Middle,High
Anaya,Kumar,anaya.kumar768@example.com,Female,22,Computer Science,94.21,61.44,59.51,79.71,67.37,84.33,78.44,66.94,C,22,No,Yes,Master,Low,Medium
Aadhya,Joshi,aadhya.joshi960@example.com,Male,22,Data Science,64.84,93.21,98.94,68.87,69.35,80.86,80.01,87.24,A,16,Yes,Yes,Diploma,Middle,Low
Aarav,Sharma,aarav.sharma848@example.com,Male,25,Data Science,86.59,100.0,69.35,67.02,57.45,70.69,75.6,76.16,B,23,Yes,No,Bachelor,Middle,Low
Aarav,Kumar,aarav.kumar873@example.com,Other,23,Civil,97.95,62.24,75.36,74.84,88.26,100.0,69.63,73.95,B,17,No,Yes,High School,Middle,High
Atharv,Singh,atharv.singh476@example.com,Female,22,Computer Science,75.11,85.66,82.23,93.47,81.01,74.41,83.09,84.35,B,17,Yes,No,Diploma,High,High
Aarav,Joshi,aarav.joshi144@example.com,Female,24,Data Science,91.09,82.31,79.61,85.67,88.03,91.82,83.78,83.06,B,11,Yes,No,Master,Low,Medium
Riya,Kapoor,riya.kapoor546@example.com,Other,17,Electrical,78.33,72.2,90.1,66.83,78.42,74.07,76.34,78.79,B,22,Yes,Yes,Diploma,Middle,High
Siya,Sharma,siya.sharma411@example.com,Female,21,Civil,92.78,72.87,72.7,61.4,82.96,84.45,100.0,75.39,B,9,Yes,Yes,PhD,Middle,Medium
Anika,Reddy,anika.reddy931@example.com,Male,24,Mechanical,76.92,73.29,75.74,90.77,72.86,80.79,83.29,78.1,B,22,Yes,Yes,Diploma,High,Medium
Myra,Sharma,myra.sharma254@example.com,Female,25,Electrical,81.87,63.3,74.91,85.74,61.68,79.33,67.6,71.8,B,22,Yes,No,Bachelor,Low,Low
Atharv,Patel,atharv.patel3@example.com,Female,21,Electrical,91.95,47.15,63.62,78.77,92.79,77.34,69.34,65.95,C,26,No,No,High School,Low,Low
Vivaan,Singh,vivaan.singh393@example.com,Other,18,Electronics,98.81,48.28,39.02,79.4,67.98,67.79,84.5,56.27,C,10,Yes,No,High School,High,Medium
Riya,Joshi,riya.joshi346@example.com,Male,19,Computer Science,82.44,61.54,52.8,83.72,81.8,77.01,98.16,68.27,C,6,Yes,No,Bachelor,Low,Medium
Atharv,Verma,atharv.verma342@example.com,Female,18,Electronics,69.3,47.12,61.62,74.54,76.92,75.59,80.22,64.02,C,12,No,No,Master,High,Low
Sai,Iyer,sai.iyer616@example.com,Other,22,Electronics,67.48,91.66,70.77,86.17,78.11,82.57,82.84,80.83,B,14,No,Yes,Master,High,High
Reyansh,Nair,reyansh.nair60@example.com,Male,25,Computer Science,84.48,79.64,91.94,76.97,82.51,77.1,93.28,85.07,A,12,No,No,High School,Low,High
Siya,Nair,siya.nair740@example.com,Other,20,Computer Science,73.24,97.01,71.4,60.69,75.54,71.19,86.09,78.07,B,26,No,No,Bachelor,Low,Low
Aditya,Patel,aditya.patel318@example.com,Other,23,Computer Science,73.47,63.31,43.66,70.48,44.91,62.16,85.12,57.79,C,9,No,Yes,PhD,Low,High
Anaya,Das,anaya.das332@example.com,Other,22,Mechanical,87.86,76.38,57.5,74.52,73.96,66.42,94.04,70.52,B,22,Yes,No,Master,Middle,Low
Arjun,Joshi,arjun.joshi21@example.com,Female,20,Mechanical,88.77,66.69,72.4,77.08,49.5,75.53,67.82,69.08,C,17,Yes,Yes,PhD,High,Medium
Siya,Iyer,siya.iyer655@example.com,Male,22,Data Science,69.98,65.78,98.97,81.41,67.15,83.73,92.79,83.48,B,34,No,No,Diploma,Middle,Medium
Riya,Verma,riya.verma151@example.com,Other,17,Mechanical,89.25,70.89,62.3,81.98,78.72,86.95,83.62,72.41,B,22,No,Yes,Master,Low,Low
Shaurya,Joshi,shaurya.joshi610@example.com,Other,20,Data Science,90.5,61.97,91.76,76.98,98.9,71.11,96.83,82.28,B,31,No,No,PhD,Middle,Medium
Ishaan,Joshi,ishaan.joshi615@example.com,Male,20,Civil,81.98,60.23,64.74,71.8,79.09,83.23,69.12,67.47,C,15,Yes,No,High School,Low,Low
Shaurya,Kapoor,shaurya.kapoor6@example.com,Other,23,Electronics,79.76,100.0,97.91,79.36,74.46,79.2,83.36,90.92,A,19,Yes,No,High School,High,Low
Aadhya,Chatterjee,aadhya.chatterjee486@example.com,Female,20,Information Technology,69.77,66.14,46.97,78.99,81.77,73.17,94.89,66.15,C,30,No,No,Master,High,Low
Diya,Pandey,diya.pandey221@example.com,Male,19,Civil,67.74,48.03,75.37,85.47,94.21,73.41,88.94,73.19,B,33,Yes,No,Master,Middle,Low
Atharv,Patel,atharv.patel514@example.com,Female,25,Information Technology,79.61,67.41,85.25,81.52,55.08,92.77,92.56,78.32,B,35,Yes,No,Master,High,High
Navya,Joshi,navya.joshi704@example.com,Other,24,Electronics,73.74,75.94,79.41,77.61,67.4,71.28,75.69,76.29,B,7,Yes,Yes,Diploma,High,High
Shaurya,Nair,shaurya.nair919@example.com,Male,19,Civil,91.73,78.15,66.44,82.72,39.82,89.49,55.12,69.17,C,29,No,Yes,Bachelor,Middle,Low
Aarav,Gupta,aarav.gupta164@example.com,Male,21,Mechanical,76.38,53.2,52.58,86.61,68.39,81.47,75.44,63.15,C,5,No,No,Bachelor,Low,High
Sai,Kumar,sai.kumar931@example.com,Female,24,Information Technology,84.77,71.15,52.76,84.96,68.07,62.43,70.86,66.01,C,17,No,No,Master,High,Medium
Reyansh,Patel,reyansh.patel833@example.com,Other,20,Data Science,95.01,82.75,66.77,71.51,70.14,98.77,80.58,74.79,B,5,No,No,Diploma,Low,Medium
Navya,Saxena,navya.saxena445@example.com,Male,19,Computer Science,84.3,85.45,75.58,72.41,71.64,77.28,75.55,77.26,B,23,Yes,Yes,PhD,Middle,High
Anaya,Gupta,anaya.gupta18@example.com,Female,23,Computer Science,87.28,70.78,82.99,74.19,74.94,58.02,87.0,76.96,B,26,No,No,Bachelor,Middle,Low
Atharv,Kapoor,atharv.kapoor595@example.com,Other,18,Data Science,83.46,84.97,28.56,95.88,72.32,89.08,63.52,63.66,C,25,No,No,High School,High,Medium
Pari,Chatterjee,pari.chatterjee972@example.com,Other,25,Data Science,86.13,54.2,62.64,94.14,71.71,80.17,86.44,69.42,C,28,No,Yes,Diploma,High,Low
Saanvi,Reddy,saanvi.reddy436@example.com,Other,19,Mechanical,84.96,72.26,77.47,99.03,73.31,80.01,88.61,80.23,B,35,No,Yes,PhD,Middle,Medium
Reyansh,Banerjee,reyansh.banerjee881@example.com,Female,23,Computer Science,91.06,87.81,81.58,63.57,93.6,66.54,79.63,80.69,B,24,No,Yes,Master,Low,Low
